year,sex,age,edu_1,employed
2018,females,70_and_over,post-sec,2100
2018,females,15-19,dip_and_professional_qual,1900
2018,females,20-24,dip_and_professional_qual,26600
2018,females,25-29,dip_and_professional_qual,25100
2018,females,30-34,dip_and_professional_qual,24900
2018,females,35-39,dip_and_professional_qual,31300
2018,females,40-44,dip_and_professional_qual,29400
2018,females,45-49,dip_and_professional_qual,23600
2018,females,50-54,dip_and_professional_qual,15900
2018,females,55-59,dip_and_professional_qual,11300
2018,females,60-64,dip_and_professional_qual,4900
2018,females,65-69,dip_and_professional_qual,2300
2018,females,70_and_over,dip_and_professional_qual,400
2018,females,15-19,degree,-
2018,females,20-24,degree,20900
2018,females,25-29,degree,69900
2018,females,30-34,degree,69400
2018,females,35-39,degree,71100
2018,females,40-44,degree,61000
2018,females,45-49,degree,42200
2018,females,50-54,degree,23600
2018,females,55-59,degree,13700
2018,females,60-64,degree,7100
2018,females,65-69,degree,2800
2018,females,70_and_over,degree,900
2019,males,15-19,primary_and_below,300
2019,males,20-24,primary_and_below,300
2019,males,25-29,primary_and_below,1000
2019,males,30-34,primary_and_below,1400
2019,males,35-39,primary_and_below,1900
2019,males,40-44,primary_and_below,4000
2019,males,45-49,primary_and_below,8300
2019,males,50-54,primary_and_below,16700
2019,males,55-59,primary_and_below,24700
2019,males,60-64,primary_and_below,24800
2019,males,65-69,primary_and_below,15500
2019,males,70_and_over,primary_and_below,14800
2019,males,15-19,lower_secondary,800
2019,males,20-24,lower_secondary,800
2019,males,25-29,lower_secondary,1800
2019,males,30-34,lower_secondary,2200
2019,males,35-39,lower_secondary,3200
2019,males,40-44,lower_secondary,3500
2019,males,45-49,lower_secondary,6400
2019,males,50-54,lower_secondary,11100
2019,males,55-59,lower_secondary,16800
2019,males,60-64,lower_secondary,15100
2019,males,65-69,lower_secondary,11700
2019,males,70_and_over,lower_secondary,5600
2019,males,15-19,secondary,5900
2019,males,20-24,secondary,7200
2019,males,25-29,secondary,8400
2019,males,30-34,secondary,9700
2019,males,35-39,secondary,13800
2019,males,40-44,secondary,14900
2019,males,45-49,secondary,20900
2019,males,50-54,secondary,25000
2019,males,55-59,secondary,29900
2019,males,60-64,secondary,24800
2019,males,65-69,secondary,13000
2019,males,70_and_over,secondary,7300
2019,males,15-19,post-sec,12100
2019,males,20-24,post-sec,22500
2019,males,25-29,post-sec,13100
2019,males,30-34,post-sec,12600
2019,males,35-39,post-sec,11300
2019,males,40-44,post-sec,11800
2019,males,45-49,post-sec,17600
2019,males,50-54,post-sec,16200
2019,males,55-59,post-sec,13600
2019,males,60-64,post-sec,11500
2019,males,65-69,post-sec,7800
2019,males,70_and_over,post-sec,3300
2019,males,15-19,dip_and_professional_qual,1700
2019,males,20-24,dip_and_professional_qual,34600
2019,males,25-29,dip_and_professional_qual,32300
2019,males,30-34,dip_and_professional_qual,27500
2019,males,35-39,dip_and_professional_qual,30100
2019,males,40-44,dip_and_professional_qual,29600
2019,males,45-49,dip_and_professional_qual,27800
2019,males,50-54,dip_and_professional_qual,22000
2019,males,55-59,dip_and_professional_qual,18300
2019,males,60-64,dip_and_professional_qual,10400
2019,males,65-69,dip_and_professional_qual,5900
2019,males,70_and_over,dip_and_professional_qual,2400
2019,males,15-19,degree,-
2019,males,20-24,degree,3500
2019,males,25-29,degree,56900
2019,males,30-34,degree,69600
2019,males,35-39,degree,70900
2019,males,40-44,degree,70700
2019,males,45-49,degree,64400
2019,males,50-54,degree,46400
2019,males,55-59,degree,25600
2019,males,60-64,degree,14500
2019,males,65-69,degree,6900
2019,males,70_and_over,degree,3700
2019,females,15-19,primary_and_below,200
2019,females,20-24,primary_and_below,500
2019,females,25-29,primary_and_below,600
2019,females,30-34,primary_and_below,1300
2019,females,35-39,primary_and_below,2500
2019,females,40-44,primary_and_below,5000
2019,females,45-49,primary_and_below,7700
2019,females,50-54,primary_and_below,12500
2019,females,55-59,primary_and_below,17400
2019,females,60-64,primary_and_below,17300
2019,females,65-69,primary_and_below,14200
2019,females,70_and_over,primary_and_below,11700
2019,females,15-19,lower_secondary,100
2019,females,20-24,lower_secondary,600
2019,females,25-29,lower_secondary,1500
2019,females,30-34,lower_secondary,2100
2019,females,35-39,lower_secondary,3500
2019,females,40-44,lower_secondary,5900
2019,females,45-49,lower_secondary,7000
2019,females,50-54,lower_secondary,8700
2019,females,55-59,lower_secondary,11300
2019,females,60-64,lower_secondary,6200
2019,females,65-69,lower_secondary,5900
2019,females,70_and_over,lower_secondary,2400
2019,females,15-19,secondary,5800
2019,females,20-24,secondary,3900
2019,females,25-29,secondary,5700
2019,females,30-34,secondary,8400
2019,females,35-39,secondary,13200
2019,females,40-44,secondary,17200
2019,females,45-49,secondary,24000
2019,females,50-54,secondary,31000
2019,females,55-59,secondary,31500
2019,females,60-64,secondary,22100
2019,females,65-69,secondary,10000
2019,females,70_and_over,secondary,3800
2019,females,15-19,post-sec,3900
2019,females,20-24,post-sec,10900
2019,females,25-29,post-sec,7000
2019,females,30-34,post-sec,8400
2019,females,35-39,post-sec,6800
2019,females,40-44,post-sec,8900
2019,females,45-49,post-sec,13700
2019,females,50-54,post-sec,12800
2019,females,55-59,post-sec,10600
2019,females,60-64,post-sec,7600
2019,females,65-69,post-sec,3900
2019,females,70_and_over,post-sec,1700
2019,females,15-19,dip_and_professional_qual,1900
2019,females,20-24,dip_and_professional_qual,24600
2019,females,25-29,dip_and_professional_qual,24300
2019,females,30-34,dip_and_professional_qual,26300
2019,females,35-39,dip_and_professional_qual,28300
2019,females,40-44,dip_and_professional_qual,29100
2019,females,45-49,dip_and_professional_qual,28000
2019,females,50-54,dip_and_professional_qual,18400
2019,females,55-59,dip_and_professional_qual,12300
2019,females,60-64,dip_and_professional_qual,6000
2019,females,65-69,dip_and_professional_qual,3000
2019,females,70_and_over,dip_and_professional_qual,1200
2019,females,15-19,degree,-
2019,females,20-24,degree,22000
2019,females,25-29,degree,72100
2019,females,30-34,degree,76400
2019,females,35-39,degree,74200
2019,females,40-44,degree,61400
2019,females,45-49,degree,48100
2019,females,50-54,degree,26300
2019,females,55-59,degree,15900
2019,females,60-64,degree,5600
2019,females,65-69,degree,2600
2019,females,70_and_over,degree,1300
2020,males,15-19,primary_and_below,300
2020,males,20-24,primary_and_below,200
2020,males,25-29,primary_and_below,700
2020,males,30-34,primary_and_below,1100
2020,males,35-39,primary_and_below,1000
2020,males,40-44,primary_and_below,3100
2020,males,45-49,primary_and_below,6600
2020,males,50-54,primary_and_below,15100
2020,males,55-59,primary_and_below,22500
2020,males,60-64,primary_and_below,25600
2020,males,65-69,primary_and_below,16700
2020,males,70_and_over,primary_and_below,16200
2020,males,15-19,lower_secondary,600
2020,males,20-24,lower_secondary,800
2020,males,25-29,lower_secondary,1200
2020,males,30-34,lower_secondary,1300
2020,males,35-39,lower_secondary,2800
2020,males,40-44,lower_secondary,3800
2020,males,45-49,lower_secondary,7100
2020,males,50-54,lower_secondary,9000
2020,males,55-59,lower_secondary,15100
2020,males,60-64,lower_secondary,13100
2020,males,65-69,lower_secondary,11600
2020,males,70_and_over,lower_secondary,6700
2020,males,15-19,secondary,5300
2020,males,20-24,secondary,6400
2020,males,25-29,secondary,6800
2020,males,30-34,secondary,8600
2020,males,35-39,secondary,11600
2020,males,40-44,secondary,13700
2020,males,45-49,secondary,19700
2020,males,50-54,secondary,23800
